CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree.py
MEM 628.027344 1731279289.9889
MEM 628.660156 1731279290.0891
MEM 629.542969 1731279290.1896
MEM 630.292969 1731279290.2900
MEM 630.859375 1731279290.3904
MEM 631.742188 1731279290.4909
MEM 632.582031 1731279290.5915
MEM 633.242188 1731279290.6918
MEM 634.062500 1731279290.7920
MEM 634.648438 1731279290.8922
MEM 635.570312 1731279290.9928
MEM 636.390625 1731279291.0933
MEM 637.023438 1731279291.1937
MEM 637.875000 1731279291.2942
MEM 638.718750 1731279291.3946
MEM 639.281250 1731279291.4949
MEM 640.160156 1731279291.5952
MEM 640.785156 1731279291.6957
MEM 641.296875 1731279291.7960
MEM 641.296875 1731279291.8965
MEM 641.300781 1731279291.9968
MEM 641.378906 1731279292.0974
MEM 641.457031 1731279292.1979
MEM 641.480469 1731279292.2982
MEM 641.519531 1731279292.3984
MEM 641.601562 1731279292.4985
MEM 641.605469 1731279292.5988
MEM 641.609375 1731279292.6990
MEM 641.628906 1731279292.7993
MEM 641.687500 1731279292.8997
MEM 641.718750 1731279293.0000
MEM 641.742188 1731279293.1006
MEM 641.824219 1731279293.2009
MEM 641.824219 1731279293.3012
MEM 641.828125 1731279293.4015
MEM 641.855469 1731279293.5021
MEM 641.882812 1731279293.6027
MEM 641.960938 1731279293.7030
MEM 641.984375 1731279293.8036
MEM 642.058594 1731279293.9039
MEM 642.113281 1731279294.0044
MEM 642.121094 1731279294.1049
MEM 642.148438 1731279294.2055
MEM 642.187500 1731279294.3057
MEM 642.210938 1731279294.4061
MEM 642.238281 1731279294.5063
MEM 642.375000 1731279294.6067
MEM 642.378906 1731279294.7072
MEM 642.390625 1731279294.8077
MEM 642.421875 1731279294.9079
MEM 642.449219 1731279295.0086
MEM 642.476562 1731279295.1089
MEM 642.507812 1731279295.2091
MEM 642.652344 1731279295.3094
MEM 642.656250 1731279295.4098
MEM 642.671875 1731279295.5099
MEM 642.703125 1731279295.6103
MEM 642.730469 1731279295.7108
MEM 642.757812 1731279295.8111
MEM 642.789062 1731279295.9113
MEM 642.851562 1731279296.0114
MEM 642.855469 1731279296.1120
MEM 642.875000 1731279296.2125
MEM 643.003906 1731279296.3130
MEM 643.031250 1731279296.4133
MEM 643.062500 1731279296.5136
MEM 643.152344 1731279296.6139
MEM 643.152344 1731279296.7143
MEM 643.156250 1731279296.8148
MEM 643.304688 1731279296.9150
MEM 643.335938 1731279297.0155
MEM 643.363281 1731279297.1160
MEM 643.386719 1731279297.2164
MEM 643.417969 1731279297.3167
MEM 643.445312 1731279297.4171
MEM 643.476562 1731279297.5177
MEM 643.511719 1731279297.6182
MEM 643.535156 1731279297.7188
MEM 643.570312 1731279297.8198
MEM 643.601562 1731279297.9202
MEM 643.671875 1731279298.0206
MEM 643.671875 1731279298.1212
MEM 643.687500 1731279298.2219
MEM 643.722656 1731279298.3225
MEM 643.753906 1731279298.4231
MEM 643.785156 1731279298.5234
MEM 643.875000 1731279298.6239
MEM 643.875000 1731279298.7243
MEM 643.882812 1731279298.8251
MEM 643.906250 1731279298.9257
MEM 643.937500 1731279299.0260
MEM 643.968750 1731279299.1266
MEM 643.996094 1731279299.2273
MEM 644.078125 1731279299.3281
