CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe InsertBthree.py
MEM 376.363281 1729974094.0795
MEM 376.972656 1729974094.1809
MEM 377.863281 1729974094.2810
MEM 378.773438 1729974094.3813
MEM 379.429688 1729974094.4819
MEM 380.332031 1729974094.5822
MEM 381.242188 1729974094.6828
MEM 381.890625 1729974094.7831
MEM 382.800781 1729974094.8836
MEM 383.476562 1729974094.9839
MEM 384.390625 1729974095.0845
MEM 385.300781 1729974095.1851
MEM 385.949219 1729974095.2856
MEM 386.859375 1729974095.3863
MEM 387.777344 1729974095.4865
MEM 388.421875 1729974095.5871
MEM 389.320312 1729974095.6875
MEM 390.222656 1729974095.7878
MEM 390.878906 1729974095.8883
MEM 391.781250 1729974095.9886
MEM 392.691406 1729974096.0891
MEM 393.347656 1729974096.1896
MEM 394.265625 1729974096.2899
MEM 395.164062 1729974096.3902
MEM 396.078125 1729974096.4908
MEM 396.730469 1729974096.5911
MEM 397.648438 1729974096.6917
MEM 398.542969 1729974096.7922
MEM 399.148438 1729974096.8923
MEM 400.027344 1729974096.9927
MEM 400.925781 1729974097.0929
MEM 401.558594 1729974097.1932
MEM 402.453125 1729974097.2937
MEM 403.359375 1729974097.3941
MEM 404.003906 1729974097.4945
MEM 404.894531 1729974097.5949
MEM 405.773438 1729974097.6954
MEM 406.402344 1729974097.7955
MEM 407.300781 1729974097.8959
MEM 408.203125 1729974097.9962
MEM 408.855469 1729974098.0967
MEM 409.757812 1729974098.1970
MEM 410.664062 1729974098.2974
MEM 411.320312 1729974098.3978
MEM 412.222656 1729974098.4985
MEM 413.125000 1729974098.5988
MEM 413.816406 1729974098.6993
MEM 414.730469 1729974098.7997
MEM 415.625000 1729974098.9001
MEM 416.269531 1729974099.0008
MEM 417.175781 1729974099.1013
MEM 418.078125 1729974099.2017
MEM 418.726562 1729974099.3025
MEM 419.628906 1729974099.4029
MEM 420.511719 1729974099.5035
MEM 421.160156 1729974099.6038
MEM 422.042969 1729974099.7042
MEM 422.953125 1729974099.8047
MEM 423.601562 1729974099.9048
MEM 424.507812 1729974100.0051
MEM 425.390625 1729974100.1053
MEM 426.031250 1729974100.2058
MEM 426.925781 1729974100.3061
MEM 427.816406 1729974100.4064
MEM 428.472656 1729974100.5069
MEM 429.382812 1729974100.6071
MEM 430.285156 1729974100.7076
MEM 430.937500 1729974100.8080
MEM 431.847656 1729974100.9083
MEM 432.753906 1729974101.0089
MEM 433.410156 1729974101.1095
MEM 434.324219 1729974101.2099
MEM 435.226562 1729974101.3105
MEM 435.871094 1729974101.4108
MEM 436.765625 1729974101.5110
MEM 437.675781 1729974101.6115
MEM 438.621094 1729974101.7121
MEM 439.261719 1729974101.8125
MEM 440.164062 1729974101.9132
MEM 440.898438 1729974102.0137
MEM 441.566406 1729974102.1144
MEM 442.476562 1729974102.2146
MEM 443.382812 1729974102.3150
MEM 444.023438 1729974102.4156
MEM 444.941406 1729974102.5161
MEM 445.843750 1729974102.6168
MEM 446.496094 1729974102.7175
MEM 447.410156 1729974102.8182
MEM 448.320312 1729974102.9188
MEM 448.976562 1729974103.0191
MEM 449.875000 1729974103.1194
MEM 450.785156 1729974103.2199
MEM 451.453125 1729974103.3205
MEM 452.363281 1729974103.4208
MEM 453.269531 1729974103.5213
MEM 453.917969 1729974103.6216
MEM 454.820312 1729974103.7220
MEM 455.722656 1729974103.8222
MEM 456.367188 1729974103.9225
MEM 457.261719 1729974104.0230
MEM 458.179688 1729974104.1231
MEM 459.093750 1729974104.2236
MEM 459.753906 1729974104.3241
MEM 460.640625 1729974104.4244
MEM 461.550781 1729974104.5247
MEM 462.195312 1729974104.6251
MEM 463.105469 1729974104.7256
MEM 464.000000 1729974104.8263
MEM 464.675781 1729974104.9268
MEM 465.585938 1729974105.0272
MEM 466.488281 1729974105.1274
MEM 467.140625 1729974105.2281
MEM 468.042969 1729974105.3285
