CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe BusquedaInsertBthree2.py
MEM 187.324219 1731279347.1266
MEM 187.324219 1731279347.2270
MEM 187.324219 1731279347.3273
MEM 187.324219 1731279347.4275
MEM 187.324219 1731279347.5277
MEM 187.324219 1731279347.6282
MEM 187.324219 1731279347.7283
MEM 187.324219 1731279347.8288
MEM 187.324219 1731279347.9292
MEM 187.324219 1731279348.0295
MEM 187.324219 1731279348.1300
MEM 187.324219 1731279348.2304
MEM 187.324219 1731279348.3309
MEM 187.324219 1731279348.4312
MEM 187.324219 1731279348.5315
MEM 187.324219 1731279348.6317
MEM 187.324219 1731279348.7320
MEM 187.324219 1731279348.8325
MEM 187.324219 1731279348.9327
MEM 187.324219 1731279349.0332
MEM 187.324219 1731279349.1335
MEM 187.324219 1731279349.2339
MEM 187.324219 1731279349.3343
MEM 187.324219 1731279349.4349
MEM 187.324219 1731279349.5351
MEM 187.324219 1731279349.6355
MEM 187.324219 1731279349.7360
MEM 187.324219 1731279349.8365
MEM 187.324219 1731279349.9366
MEM 187.324219 1731279350.0371
MEM 187.324219 1731279350.1374
MEM 187.324219 1731279350.2377
MEM 187.324219 1731279350.3381
MEM 187.324219 1731279350.4384
MEM 187.324219 1731279350.5389
MEM 187.324219 1731279350.6392
MEM 187.324219 1731279350.7397
MEM 187.324219 1731279350.8400
MEM 187.324219 1731279350.9402
MEM 187.324219 1731279351.0407
MEM 187.324219 1731279351.1415
MEM 187.324219 1731279351.2417
MEM 187.324219 1731279351.3421
MEM 187.324219 1731279351.4427
MEM 187.324219 1731279351.5431
MEM 187.324219 1731279351.6434
MEM 187.324219 1731279351.7438
MEM 187.324219 1731279351.8441
MEM 187.324219 1731279351.9444
MEM 187.324219 1731279352.0447
MEM 187.324219 1731279352.1451
MEM 187.324219 1731279352.2456
MEM 187.324219 1731279352.3457
MEM 187.324219 1731279352.4459
MEM 187.324219 1731279352.5463
MEM 187.324219 1731279352.6467
MEM 187.324219 1731279352.7471
MEM 187.324219 1731279352.8472
MEM 187.324219 1731279352.9475
MEM 187.324219 1731279353.0481
MEM 187.324219 1731279353.1487
MEM 187.324219 1731279353.2492
MEM 187.324219 1731279353.3497
MEM 187.324219 1731279353.4500
MEM 187.324219 1731279353.5503
MEM 187.324219 1731279353.6509
MEM 187.324219 1731279353.7512
MEM 187.324219 1731279353.8517
MEM 187.324219 1731279353.9523
MEM 187.324219 1731279354.0526
MEM 187.324219 1731279354.1531
MEM 187.324219 1731279354.2534
MEM 187.324219 1731279354.3536
MEM 187.324219 1731279354.4538
MEM 187.324219 1731279354.5541
MEM 187.324219 1731279354.6546
MEM 187.324219 1731279354.7551
MEM 187.324219 1731279354.8554
MEM 187.324219 1731279354.9557
MEM 187.324219 1731279355.0559
MEM 187.324219 1731279355.1565
MEM 187.324219 1731279355.2567
MEM 187.324219 1731279355.3569
MEM 187.324219 1731279355.4574
MEM 187.324219 1731279355.5579
MEM 187.324219 1731279355.6584
MEM 187.324219 1731279355.7587
MEM 187.324219 1731279355.8591
MEM 187.324219 1731279355.9594
MEM 187.324219 1731279356.0598
MEM 187.324219 1731279356.1600
MEM 187.324219 1731279356.2602
MEM 187.324219 1731279356.3606
MEM 187.324219 1731279356.4611
MEM 187.324219 1731279356.5614
MEM 187.324219 1731279356.6615
MEM 187.324219 1731279356.7618
MEM 187.324219 1731279356.8625
MEM 187.324219 1731279356.9630
MEM 187.324219 1731279357.0634
MEM 187.324219 1731279357.1637
MEM 187.324219 1731279357.2639
MEM 187.324219 1731279357.3643
MEM 187.324219 1731279357.4645
MEM 187.324219 1731279357.5651
MEM 187.324219 1731279357.6655
MEM 187.324219 1731279357.7659
MEM 187.324219 1731279357.8662
MEM 187.324219 1731279357.9667
MEM 187.324219 1731279358.0671
MEM 187.324219 1731279358.1674
MEM 187.324219 1731279358.2678
MEM 187.324219 1731279358.3683
MEM 187.324219 1731279358.4686
MEM 187.324219 1731279358.5691
MEM 187.324219 1731279358.6693
MEM 187.324219 1731279358.7696
MEM 187.324219 1731279358.8698
MEM 187.324219 1731279358.9702
MEM 187.324219 1731279359.0706
MEM 187.324219 1731279359.1712
MEM 187.324219 1731279359.2715
MEM 187.324219 1731279359.3719
MEM 187.324219 1731279359.4723
MEM 187.324219 1731279359.5726
MEM 187.324219 1731279359.6728
MEM 187.324219 1731279359.7730
MEM 187.324219 1731279359.8733
MEM 187.324219 1731279359.9739
MEM 187.324219 1731279360.0743
MEM 187.324219 1731279360.1748
MEM 187.324219 1731279360.2753
MEM 187.324219 1731279360.3757
MEM 187.324219 1731279360.4760
MEM 187.324219 1731279360.5764
MEM 187.324219 1731279360.6766
MEM 187.324219 1731279360.7769
MEM 187.324219 1731279360.8770
MEM 187.324219 1731279360.9777
MEM 187.324219 1731279361.0779
MEM 187.324219 1731279361.1783
MEM 187.324219 1731279361.2790
MEM 187.324219 1731279361.3791
MEM 187.324219 1731279361.4793
MEM 187.324219 1731279361.5797
MEM 187.324219 1731279361.6800
MEM 187.324219 1731279361.7806
MEM 187.324219 1731279361.8806
MEM 187.324219 1731279361.9810
MEM 187.324219 1731279362.0814
MEM 187.324219 1731279362.1819
MEM 187.324219 1731279362.2821
MEM 187.324219 1731279362.3822
MEM 187.324219 1731279362.4827
MEM 187.324219 1731279362.5831
MEM 187.324219 1731279362.6835
MEM 187.324219 1731279362.7838
MEM 187.324219 1731279362.8841
MEM 187.324219 1731279362.9842
MEM 187.324219 1731279363.0847
MEM 187.324219 1731279363.1851
MEM 187.324219 1731279363.2854
MEM 187.324219 1731279363.3856
MEM 187.324219 1731279363.4857
MEM 187.324219 1731279363.5859
MEM 187.324219 1731279363.6865
MEM 187.324219 1731279363.7867
MEM 187.324219 1731279363.8870
MEM 187.324219 1731279363.9874
MEM 187.324219 1731279364.0877
MEM 187.324219 1731279364.1882
MEM 187.324219 1731279364.2884
MEM 187.324219 1731279364.3886
MEM 187.324219 1731279364.4888
MEM 187.324219 1731279364.5890
MEM 187.324219 1731279364.6895
MEM 187.324219 1731279364.7897
MEM 187.324219 1731279364.8901
MEM 187.324219 1731279364.9905
MEM 187.324219 1731279365.0910
MEM 187.324219 1731279365.1912
MEM 187.324219 1731279365.2914
MEM 187.324219 1731279365.3916
MEM 187.324219 1731279365.4918
MEM 187.324219 1731279365.5922
MEM 187.324219 1731279365.6924
MEM 187.324219 1731279365.7926
MEM 187.324219 1731279365.8931
MEM 187.324219 1731279365.9937
MEM 187.324219 1731279366.0940
MEM 187.324219 1731279366.1946
MEM 187.324219 1731279366.2947
MEM 187.324219 1731279366.3950
MEM 187.324219 1731279366.4952
MEM 187.324219 1731279366.5955
MEM 187.324219 1731279366.6958
MEM 187.324219 1731279366.7960
MEM 187.324219 1731279366.8963
MEM 187.324219 1731279366.9969
MEM 187.324219 1731279367.0975
MEM 187.324219 1731279367.1977
MEM 187.324219 1731279367.2980
MEM 187.324219 1731279367.3983
MEM 187.324219 1731279367.4986
MEM 187.324219 1731279367.5991
MEM 187.324219 1731279367.6995
MEM 187.324219 1731279367.8000
MEM 187.324219 1731279367.9004
MEM 187.324219 1731279368.0006
MEM 187.324219 1731279368.1008
MEM 187.324219 1731279368.2010
MEM 187.324219 1731279368.3015
MEM 187.324219 1731279368.4018
MEM 187.324219 1731279368.5023
MEM 187.324219 1731279368.6025
MEM 187.324219 1731279368.7028
MEM 187.324219 1731279368.8032
MEM 187.324219 1731279368.9036
MEM 187.324219 1731279369.0042
MEM 187.324219 1731279369.1045
MEM 187.324219 1731279369.2051
MEM 187.324219 1731279369.3053
MEM 187.324219 1731279369.4055
MEM 187.324219 1731279369.5059
MEM 187.324219 1731279369.6062
MEM 187.324219 1731279369.7067
MEM 187.324219 1731279369.8069
MEM 187.324219 1731279369.9072
MEM 187.324219 1731279370.0076
MEM 187.324219 1731279370.1082
MEM 187.324219 1731279370.2085
MEM 187.324219 1731279370.3089
MEM 187.324219 1731279370.4091
MEM 187.324219 1731279370.5092
MEM 187.324219 1731279370.6097
MEM 187.324219 1731279370.7102
MEM 187.324219 1731279370.8106
MEM 187.324219 1731279370.9109
MEM 187.324219 1731279371.0115
MEM 187.324219 1731279371.1119
